"","Date_Hour","ID","temp","humidity","Latitude","Longitude","Pressure","PM1.0","PM2.5","PM10.0","PM2.5ATM","corrected_PM2.5","t1","logPM2.5"
"291767","2019-01-15 23:00:00",8056,58,63,38.352535,-120.7672,970.674444444444,0.15,0.270111111111111,0.385222222222222,0.270111111111111,0.493938222222223,14.9583333333333,-0.705344825844715
"273618","2019-01-15 00:00:00",3334,54,62.4888888888889,37.118015,-120.74461,1010.49711111111,11.3876666666667,12.4787777777778,12.7626666666667,12.4627777777778,6.92644222222222,14,1.93534629352643
"274442","2019-01-15 01:00:00",3334,54.7555555555556,61.9555555555556,37.118015,-120.74461,1010.50888888889,10.0798888888889,11.1022222222222,11.364,11.102,6.25883466666667,14.0416666666667,1.83399401229837
"275263","2019-01-15 02:00:00",3334,55,62.1590909090909,37.118015,-120.74461,1010.75113636364,11.72625,12.9344318181818,13.2365909090909,12.6935227272727,7.07545136363636,14.0833333333333,1.95663123847476
"276078","2019-01-15 03:00:00",3334,55.6888888888889,62.8666666666667,37.118015,-120.74461,1010.44844444444,16.5537777777778,18.1404444444444,18.5391111111111,16.6601111111111,9.09365822222222,14.125,2.20757727191916
"276887","2019-01-15 04:00:00",3334,56,63.2666666666667,37.118015,-120.74461,1010.00377777778,16.5778888888889,18.0022222222222,18.3847777777778,16.4834444444444,8.96700488888889,14.1666666666667,2.19355171717874
"277699","2019-01-15 05:00:00",3334,56,63,37.118015,-120.74461,1009.66688888889,15.4046666666667,16.4131111111111,16.6586666666667,15.444,8.445056,14.2083333333333,2.13358118138047
"278510","2019-01-15 06:00:00",3334,56.0444444444444,63.4444444444444,37.118015,-120.74461,1009.87422222222,12.6775555555556,13.5711111111111,13.7698888888889,13.4537777777778,7.36431288888889,14.25,1.99664575145365
"279323","2019-01-15 07:00:00",3334,56.7777777777778,63.5333333333333,37.118015,-120.74461,1009.90844444444,11.436,12.4887777777778,12.7021111111111,12.4243333333333,6.81731066666667,14.2916666666667,1.91946506368591
"280137","2019-01-15 08:00:00",3334,56.5555555555556,62.8222222222222,37.118015,-120.74461,1009.79888888889,11.6103333333333,12.793,13.0794444444444,12.4552222222222,6.89408311111111,14.3333333333333,1.93066352359368
